Intensity,Duration,Thickness,DenFit
5.923894760436058e+18,1.4946719512284243,145.9627743532072,54.23384432988131
8.576272076942191e+18,1.238179236834473,37.155226645944786,54.23384432988131
4.731725551076398e+18,1.0113872819418002,134.2616600603032,54.23384432988131
8.612844382564185e+18,1.006582156514096,272.6466466955277,54.23384432988131
3.837170590856051e+18,1.0481789197565197,206.3139424001743,54.23384432988131
1.5709599833722163e+18,1.8225084816378303,123.53900709958974,54.23384432988131
7.340775215480708e+18,2.2384416865223553,292.00121115036853,54.23384432988131
3.9915786934781107e+18,0.7466864478306732,117.87056780898436,54.23384432988131
1e+19,1.4016261575966853,55.210888235305106,54.23384432988131
8.238207051778143e+18,1.4482761581193702,20.0,54.23384432988131
1e+19,1.7832294439792582,108.28894480045997,54.23384432988131
6.690384207869945e+18,1.6662618134616745,65.15795224647634,54.23384432988131
3.970365938331499e+18,1.3099464548714435,20.0,54.23384432988131
1e+19,1.7638612144584376,178.97867837948522,54.23384432988131
1e+19,1.6350276845874565,64.40915461837263,54.23384432988131
1e+19,0.7115064498324043,20.0,54.23384432988131
1e+19,0.5,20.0,54.23384432988131
7.325638852530469e+17,1.0216535458857885,270.93354583500235,54.23384432988131
1e+16,0.5,20.0,54.23384432988131
1e+16,2.5,300.0,54.23384432988131
3.193064877221613e+18,0.5,20.0,54.23384432988131
1e+19,2.5,20.0,54.23384432988131
1e+19,2.5,94.08978841213427,54.23384432988131
1e+19,2.0883938763797545,57.11631370118983,54.23384432988131
1e+16,0.5,300.0,54.23384432988131
1e+19,2.5,143.7821556274501,54.23384432988131
1e+19,1.5057986733253472,20.0,54.23384432988131
2.2980345677684815e+18,2.5,20.0,54.23384432988131
2.346294046783293e+17,2.5,231.70490586156387,54.23384432988131
1e+16,2.5,202.86572731822673,54.23384432988131
4.1952429119139686e+18,2.5,186.91175498372212,54.23384432988131
1e+19,2.3129341683002265,111.94417788927376,54.23384432988131
1e+19,1.196576781064318,20.0,54.23384432988131
2.1145331104315546e+18,1.6637715769876147,237.9639682006383,54.23384432988131
1e+19,1.6862431147359245,39.19968010249228,54.23384432988131
1e+19,2.5,121.28836045805,54.23384432988131
7.392411105944298e+18,2.5,139.29845808807696,54.23384432988131
6.054218848930509e+16,1.8648007181619835,300.0,54.23384432988131
1e+16,2.5,20.0,54.23384432988131
1e+16,0.5,211.65209145035774,54.23384432988131
